"Code","Collect","Preface","Liturgical Date","Calendar Date","Hebrew Reading","Psalm Reading","Epistle Reading","Gospel Reading"
"advent1","Almighty God, give us grace to cast away the works of darkness, and put on the armor of light, now in the time of this mortal life in which your Son Jesus Christ came to visit us in great humility; that in the last day, when he shall come again in his glorious majesty to judge both the living and the dead, we may rise to the life immortal; through him who lives and reigns with you and the Holy Spirit, one God, now and for ever.","advent","First Sunday of Advent","November 29, 2020","Isaiah 64:1-9","Psalm 80:1-7, 17-19","1 Corinthians 1:3-9","Mark 13:24-37"
"advent2","Merciful God, who sent your messengers the prophets to preach repentance and prepare the way for our salvation: Give us grace to heed their warnings and forsake our sins, that we may greet with joy the coming of Jesus Christ our Redeemer; who lives and reigns with you and the Holy Spirit, one God, now and for ever.","advent","Second Sunday of Advent","December 6, 2020","Isaiah 40:1-11","Psalm 85:1-2, 8-13","2 Peter 3:8-15a ","Mark 1:1-8"
"advent3","Stir up your power, O Lord, and with great might come among us; and, because we are sorely hindered by our sins, let your bountiful grace and mercy speedily help and deliver us; through Jesus Christ our Lord, to whom, with you and the Holy Spirit, be honor and glory, now and for ever.","advent","Third Sunday of Advent","December 13, 2020","Isaiah 61:1-4, 8-11","Psalm 126 or Luke 1:46b-55","1 Thessalonians 5:16-24 ","John 1:6-8, 19-28 "
"advent4","Purify our conscience, Almighty God, by your daily visitation, that your Son Jesus Christ, at his coming, may find in us a mansion prepared for himself; who lives and reigns with you, in the unity of the Holy Spirit, one God, now and for ever.","advent","Fourth Sunday of Advent","December 20, 2020","2 Samuel 7:1-11, 16","Luke 1:46b-55 or Psalm 89:1-4, 19-26 ","Romans 16:25-27 ","Luke 1:26-38"
"nativity1","O God, you make us glad by the yearly festival of the birth of your only Son Jesus Christ: Grant that we, who joyfully receive him as our Redeemer, may with sure confidence behold him when he comes to be our Judge; who lives and reigns with you and the Holy Spirit, one God, now and for ever.","incarnation","Nativity of the Lord - Proper I","December 24, 2020","Isaiah 9:2-7","Psalm 96","Titus 2:11-14","Luke 2:1-14, (15-20)"
"nativity2","O God, you have caused this holy night to shine with the brightness of the true Light: Grant that we, who have known the mystery of that Light on earth, may also enjoy him perfectly in heaven; where with you and the Holy Spirit he lives and reigns, one God, in glory everlasting.","incarnation","Nativity of the Lord - Proper II","December 24, 2020","Isaiah 62:6-12","Psalm 97","Titus 3:4-7","Luke 2:(1-7), 8-20"
"nativity3","Almighty God, you have given your only-begotten Son to take our nature upon him, and to be born [this day] of a pure virgin: Grant that we, who have been born again and made your children by adoption and grace, may daily be renewed by your Holy Spirit; through our Lord Jesus Christ, to whom with you and the same Spirit be honor and glory, now and for ever.","incarnation","Nativity of the Lord - Proper III","December 24, 2020","Isaiah 52:7-10","Psalm 98","Hebrews 1:1-4, (5-12)","John 1:1-14"
"christmas1","Almighty God, you have poured upon us the new light of your incarnate Word: Grant that this light, enkindled in our hearts, may shine forth in our lives; through Jesus Christ our Lord, who lives and reigns with you, in the unity of the Holy Spirit, one God, now and for ever.","incarnation","First Sunday after Christmas Day","December 27, 2020","Isaiah 61:10-62:3","Psalm 148","Galatians 4:4-7","Luke 2:22-40"
"holyname","Eternal Father, you gave to your incarnate Son the holy name of Jesus to be the sign of our salvation: Plant in every heart, we pray, the love of him who is the Savior of the world, our Lord Jesus Christ; who lives and reigns with you and the Holy Spirit, one God, in glory everlasting.","incarnation","Holy Name of Jesus","January 1, 2021","Numbers 6:22-27","Psalm 8","Galatians 4:4-7 or Philippians 2:5-11","Luke 2:15-21"
"zunknown1",,,"New Year's Day","January 1, 2021","Ecclesiastes 3:1-13","Psalm 8","Revelation 21:1-6a","Matthew 25:31-46"
"christmas2","O God, who wonderfully created, and yet more wonderfully restored, the dignity of human nature: Grant that we may share the divine life of him who humbled himself to share our humanity, your Son Jesus Christ; who lives and reigns with you, in the unity of the Holy Spirit, one God, for ever and ever.","incarnation","Second Sunday after Christmas Day","January 3, 2021","Jeremiah 31:7-14 or Sirach 24:1-12","Psalm 147:12-20 or Wisdom of Solomon 10:15-21","Ephesians 1:3-14","John 1:(1-9), 10-18"
"epiphany","O God, by the leading of a star you manifested your only Son to the peoples of the earth: Lead us, who know you now by faith, to your presence, where we may see your glory face to face; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever.","epiphany","Epiphany of the Lord","January 6, 2021","Isaiah 60:1-6","Psalm 72:1-7, 10-14","Ephesians 3:1-12","Matthew 2:1-12"
"epiphany1","Father in heaven, who at the baptism of Jesus in the River Jordan proclaimed him your beloved Son and anointed him with the Holy Spirit: Grant that all who are baptized into his Name may keep the covenant they have made, and boldly confess him as Lord and Savior; who with you and the Holy Spirit lives and reigns, one God, in glory everlasting.","epiphany","Baptism of the Lord","January 10, 2021","Genesis 1:1-5","Psalm 29","Acts 19:1-7","Mark 1:4-11"
"epiphany2","Almighty God, whose Son our Savior Jesus Christ is the light of the world: Grant that your people, illumined by your Word and Sacraments, may shine with the radiance of Christ’s glory, that he may be known, worshiped, and obeyed to the ends of the earth; through Jesus Christ our Lord, who with you and the Holy Spirit lives and reigns, one God, now and for ever.","epiphany","Second Sunday after the Epiphany","January 17, 2021","1 Samuel 3:1-10, (11-20)","Psalm 139:1-6, 13-18","1 Corinthians 6:12-20","John 1:43-51"
"epiphany3","Give us grace, O Lord, to answer readily the call of our Savior Jesus Christ and proclaim to all people the Good News of his salvation, that we and the whole world may perceive the glory of his marvelous works; who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","epiphany","Third Sunday after the Epiphany","January 24, 2021","Jonah 3:1-5, 10","Psalm 62:5-12","1 Corinthians 7:29-31","Mark 1:14-20"
"epiphany4","Almighty and everlasting God, you govern all things both in heaven and on earth: Mercifully hear the supplications of your people, and in our time grant us your peace; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","epiphany","Fourth Sunday after the Epiphany","January 31, 2021","Deuteronomy 18:15-20","Psalm 111","1 Corinthians 8:1-13","Mark 1:21-28"
"presentation","Almighty and everliving God, we humbly pray that, as your only-begotten Son was this day presented in the temple, so we may be presented to you with pure and clean hearts by Jesus Christ our Lord; who lives and reigns with you and the Holy Spirit, one God, now and for ever.","epiphany","Presentation of the Lord","February 2, 2021","Malachi 3:1-4","Psalm 84 or Psalm 24:7-10","Hebrews 2:14-18","Luke 2:22-40"
