2021,Fixed Date,Movable Date,Order (BCP 15ff.),Code,Titles of Days (BCP 31ff.),Preface,Prepare,Hymn Ent,Greeting,Opening Prayer,Song of Praise,Psalm Style,Sequence,Hymn Seq,Homily,Creed,PoP,Confession,Peace,Announcements,Offertory,Hymn Offertory,Great Thanksgiving,Lord’s Prayer,Fraction,About Communion,Comm Hymn,Hymn Communion,Post-Communion,Blessing,Processional,Hymn Process,Dismissal,Postscript,Psalm,First Lesson,Second Lesson,Gospel,
11/29/20,,,201,advent1,The First Sunday of Advent,advent,stt/2021/preparing-covid,,,he/greatlitany,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,,,stt/2021/peace-covid,stt/announcements,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/advent-long,,,he/dismissal/goinpeace,stt/2021/postscript-covid,"Psalm 80:1-7, 17-19",Isaiah 64:1-9,1 Corinthians 1:3-9,Mark 13:24-37,
11/30/20,,November 30,311,standrew,Saint Andrew the Apostle,apostles,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 19,Deuteronomy 30:11-14,Romans 10:8b-18,Matthew 4:18-22,
12/06/20,,,202,advent2,The Second Sunday of Advent,advent,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhavemercy,he/confession,stt/2021/peace-covid,stt/birthdaysanniversaries,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/advent-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,"Psalm 85:1-2, 8-13",Isaiah 40:1-11,2 Peter 3:8-15a ,Mark 1:1-8,
12/13/20,,,203,advent3,The Third Sunday of Advent,advent,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhavemercy,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/advent-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 126,"Isaiah 61:1-4, 8-11",1 Thessalonians 5:16-24 ,"John 1:6-8, 19-28 ",
12/20/20,,,204,advent4,The Fourth Sunday of Advent,advent,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhavemercy,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/advent-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Canticle 15,"2 Samuel 7:1-11, 16",Romans 16:25-27 ,Luke 1:26-38,
12/21/20,,December 21,312,stthomas,Saint Thomas the Apostle,apostles,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/forasaint-long,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 126,Habakkuk 2:1-4,Hebrews 10:35-11:1,John 20:24-29,
12/25/20,December 25,,111,nativity1,The Nativity of Our Lord Jesus Christ: Christmas Day,incarnation,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/xmas-long,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 96,Isaiah 9:2-7,Titus 2:11-14,Luke 2:1-20,
12/25/20,December 25,,112,nativity2,The Nativity of Our Lord Jesus Christ: Christmas Day,incarnation,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/xmas-long,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 97,Isaiah 62:6-12,Titus 3:4-7,Luke 2:1-20,
12/25/20,December 25,,113,nativity3,The Nativity of Our Lord Jesus Christ: Christmas Day,incarnation,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/xmas-long,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 98,Isaiah 52:7-10,Hebrews 1:1-12,John 1:1-14,
12/26/20,,December 26,341,ststephen,"Saint Stephen, Deacon and Martyr",incarnation,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 31,"Jeremiah 26:1-9,12-15","Acts 6:8-7:2a,51c-60",Matthew 23:34-39,
