2021,Fixed Date,Movable Date,Order (BCP 15ff.),Code,Preface,Prepare,HymnEntrance,Greeting,Collect for Purity,Song of Praise,Psalm,Sequence,Homily,Creed,Prayers,Confession,Peace,Announcements,Offertory,Great Thanksgiving,Lord’s Prayer,Fraction,About Communion,Communion Hymn,Post-Communion,Blessing,Procession,Dismissal,Postscript,Psalm,First Lesson,Second Lesson,Gospel
11/29/20,,,201,advent1,advent,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,"Psalm 80:1-7, 17-19",Isaiah 64:1-9,1 Corinthians 1:3-9,Mark 13:24-37
11/30/20,,November 30,311,standrew,apostles,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 19,Deuteronomy 30:11-14,Romans 10:8b-18,Matthew 4:18-22
12/06/20,,,202,advent2,advent,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,"Psalm 85:1-2, 8-13",Isaiah 40:1-11,2 Peter 3:8-15a ,Mark 1:1-8
12/13/20,,,203,advent3,advent,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 126,"Isaiah 61:1-4, 8-11",1 Thessalonians 5:16-24 ,"John 1:6-8, 19-28 "
12/20/20,,,204,advent4,advent,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Canticle 15,"2 Samuel 7:1-11, 16",Romans 16:25-27 ,Luke 1:26-38
12/21/20,,December 21,312,stthomas,apostles,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 126,Habakkuk 2:1-4,Hebrews 10:35-11:1,John 20:24-29
12/25/20,December 25,,111,nativity1,incarnation,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 96,Isaiah 9:2-7,Titus 2:11-14,Luke 2:1-20
12/25/20,December 25,,112,nativity2,incarnation,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 97,Isaiah 62:6-12,Titus 3:4-7,Luke 2:1-20
12/25/20,December 25,,113,nativity3,incarnation,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 98,Isaiah 52:7-10,Hebrews 1:1-12,John 1:1-14
12/26/20,,December 26,341,ststephen,incarnation,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 31,"Jeremiah 26:1-9,12-15","Acts 6:8-7:2a,51c-60",Matthew 23:34-39
12/27/20,,,205,christmas1,incarnation,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 147,Isaiah 61:10-62:3,Galatians 3:23-25; 4:4-7,John 1:1-18
12/28/20,,December 27,334,stjohn,incarnation,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 92,Exodus 33:18-23,1 John 1:1-9,John 21:19b-24
12/29/20,,December 28,342,holyinnocents,incarnation,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 124,Jeremiah 31:15-17,Revelation 21:1-7,Matthew 2:13-18
01/01/21,January 1,,301,holyname,incarnation,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 8,Numbers 6:22-27,Galatians 4:4-7,Luke 2:15-21
01/03/21,,,206,christmas2,incarnation,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 84,Jeremiah 31:7-14,"Ephesians 1:3-6, 15-19a","Matthew 2:13-15, 19-23"
01/06/21,January 6,,114,epiphany,epiphany,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,"Psalm 72:1-7, 10-14",Isaiah 60:1-6,Ephesians 3:1-12,Matthew 2:1-12
01/10/21,,,211,epiphany1,epiphany,stt/2021/preparing-covid,,he/greeting-blessedbegod,he/collect-purity,he/gloriaexcelsis,responsive,,he/briefhomily,he/baptismalvowsrenewal,he/pop/lordhavemercy,,stt/2021/he/covid-peace,stt/birthdaysanniversaries,hymns/h-304-3vv,he/prayera,he/lordsprayer1,Fraction-alleluia,he/covid-communion,,he/postcommunion-eternal,he/blessing,hymns/h-448,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 29,Genesis 1:1-5,Acts 19:1-7,Mark 1:4-11
